District,Constituency,Ward_Code,Ward,Polling_District_Code,Polling_District,Polling_Station,Male,Female,Pct_Male,Pct_Female,Total_Voters
CHISAMBA,CHISAMBA,000101002010,KAMANO,101002005502,KALANGWA - 2,Kalangwa Primary School-02,284,285,49.91,50.09,569
CHISAMBA,CHISAMBA,000101002010,KAMANO,101002005601,MUNANO - 1,Munano Primary School-01,342,313,52.21,47.79,655
CHISAMBA,CHISAMBA,000101002011,CHISAMBA,101002005701,JOHNKEN - 1,Mutoyo Primary School-01,366,360,50.41,49.59,726
CHISAMBA,CHISAMBA,000101002011,CHISAMBA,101002005801,MUPAMAPAMO - 1,Mupamapamo Primary School-01,379,415,47.73,52.27,794
CHISAMBA,CHISAMBA,000101002011,CHISAMBA,101002005802,MUPAMAPAMO - 2,Mupamapamo Primary School-02,419,374,52.84,47.16,793
CHISAMBA,CHISAMBA,000101002011,CHISAMBA,101002005901,CHISAMBA - 1,Chisamba Primary School-01,417,458,47.66,52.34,875
CHISAMBA,CHISAMBA,000101002011,CHISAMBA,101002005902,CHISAMBA - 2,Chisamba Primary School-02,418,457,47.77,52.23,875
CHISAMBA,CHISAMBA,000101002011,CHISAMBA,101002005903,CHISAMBA - 3,Chisamba Primary School-03,454,421,51.89,48.11,875
CHISAMBA,CHISAMBA,000101002011,CHISAMBA,101002005904,CHISAMBA - 4,Chisamba Primary School-04,402,473,45.94,54.06,875
CHISAMBA,CHISAMBA,000101002011,CHISAMBA,101002005905,CHISAMBA - 5,Chisamba Primary School-05,380,494,43.48,56.52,874
CHISAMBA,CHISAMBA,000101002011,CHISAMBA,101002005906,CHISAMBA - 6,Chisamba Primary School-06,471,403,53.89,46.11,874
CHISAMBA,CHISAMBA,000101002011,CHISAMBA,101002006001,MWOMBOSHI FOREST - 1,Mutaba Community School-01,397,424,48.36,51.64,821
CHISAMBA,CHISAMBA,000101002012,MISWA,101002006101,CHABUSHA - 1,Chabusha Primary School-01,348,332,51.18,48.82,680
CHISAMBA,CHISAMBA,000101002012,MISWA,101002006201,NKONGOLO - 1,Nkongolo Primary School-01,340,196,63.43,36.57,536
CHISAMBA,CHISAMBA,000101002012,MISWA,101002006301,VERA - 1,Vera Community School-01,115,105,52.27,47.73,220
CHISAMBA,CHISAMBA,000101002012,MISWA,101002006401,CHISAMBA RANCH - 1,Chisamba Ranch Primary School-01,276,282,49.46,50.54,558
CHISAMBA,MWOMBOSHI,000101002001,LITETA,101002000101,MWAMFUMBA - 1,Liteta Primary School-01,282,388,42.09,57.91,670
CHISAMBA,MWOMBOSHI,000101002001,LITETA,101002000102,MWAMFUMBA - 2,Liteta Primary School-02,288,381,43.05,56.95,669
CHISAMBA,MWOMBOSHI,000101002001,LITETA,101002000103,MWAMFUMBA - 3,Liteta Primary School-03,318,351,47.53,52.47,669
CHISAMBA,MWOMBOSHI,000101002001,LITETA,101002000201,NALUFWI - 1,Nalufwi Primary School-01,401,571,41.26,58.74,972
CHISAMBA,MWOMBOSHI,000101002001,LITETA,101002000301,CHANKUMBA - 1,Chankumba Primary School-01,433,537,44.64,55.36,970
CHISAMBA,MWOMBOSHI,000101002001,LITETA,101002000401,KAMPEKETE - 1,Kampekete Primary School-01,443,507,46.63,53.37,950
CHISAMBA,MWOMBOSHI,000101002001,LITETA,101002000402,KAMPEKETE - 2,Kampekete Primary School-02,440,510,46.32,53.68,950
CHISAMBA,MWOMBOSHI,000101002001,LITETA,101002000501,MALOMBE - 1,Malombe Primary School-01,236,269,46.73,53.27,505
CHISAMBA,MWOMBOSHI,000101002001,LITETA,101002000502,MALOMBE - 2,Malombe Primary School-02,234,271,46.34,53.66,505
CHISAMBA,MWOMBOSHI,000101002002,MONANG`OMBE,101002000601,LWAMABWE - 1,Lwamabwe Primary School-01,308,336,47.83,52.17,644
CHISAMBA,MWOMBOSHI,000101002002,MONANG`OMBE,101002000701,MONANG'OMBE - 1,Monang'ombe Primary School-01,304,363,45.58,54.42,667
CHISAMBA,MWOMBOSHI,000101002002,MONANG`OMBE,101002000801,KALWELWE - 1,Kalwelwe Primary School-01,125,122,50.61,49.39,247
CHISAMBA,MWOMBOSHI,000101002002,MONANG`OMBE,101002000901,KAMULOBWE - 1,Kamulobwe Primary School-01,318,351,47.53,52.47,669
CHISAMBA,MWOMBOSHI,000101002002,MONANG`OMBE,101002001001,KALIMINA - 1,Kalimina Primary School-01,258,244,51.39,48.61,502
CHISAMBA,MWOMBOSHI,000101002002,MONANG`OMBE,101002001002,KALIMINA - 2,Kalimina Primary School-02,283,219,56.37,43.63,502
CHISAMBA,MWOMBOSHI,000101002003,MUTENGA,101002001101,MOMBOSHI - 1,Momboshi Primary School-01,400,393,50.44,49.56,793
CHISAMBA,MWOMBOSHI,000101002003,MUTENGA,101002001102,MOMBOSHI - 2,Momboshi Primary School-02,369,423,46.59,53.41,792
CHISAMBA,MWOMBOSHI,000101002003,MUTENGA,101002001201,NKONJE - 1,Nkonje Primary School-01,255,264,49.13,50.87,519
CHISAMBA,MWOMBOSHI,000101002003,MUTENGA,101002001301,LUKOSHI - 1,Lukoshi Primary School-01,367,495,42.58,57.42,862
CHISAMBA,MWOMBOSHI,000101002003,MUTENGA,101002001401,MUFUNDA - 1,Mufunda Primary School-01,358,421,45.96,54.04,779
CHISAMBA,MWOMBOSHI,000101002003,MUTENGA,101002001501,LIFWAMBULA - 1,Lifwambula Primary School-01,236,269,46.73,53.27,505
CHISAMBA,MWOMBOSHI,000101002003,MUTENGA,101002001502,LIFWAMBULA - 2,Lifwambula Primary School-02,222,283,43.96,56.04,505
CHISAMBA,MWOMBOSHI,000101002003,MUTENGA,101002001601,KABAKOMBO - 1,Kabakombo Primary School-01,267,326,45.03,54.97,593
CHISAMBA,MWOMBOSHI,000101002003,MUTENGA,101002001701,MWEEMBA - 1,Mweemba Primary School-01,354,457,43.65,56.35,811
CHISAMBA,MWOMBOSHI,000101002004,CHIKONKOMENE,101002001801,CHIPANDAIKE - 1,Chipandaike Primary School-01,149,182,45.02,54.98,331
CHISAMBA,MWOMBOSHI,000101002004,CHIKONKOMENE,101002001901,CHIKONKOMENE - 1,Chikonkomene Primary School-01,243,263,48.02,51.98,506
CHISAMBA,MWOMBOSHI,000101002004,CHIKONKOMENE,101002001902,CHIKONKOMENE - 2,Chikonkomene Primary School-02,234,272,46.25,53.75,506
CHISAMBA,MWOMBOSHI,000101002004,CHIKONKOMENE,101002002001,MATUBILA - 1,Matubila Community School-01,251,272,47.99,52.01,523
CHISAMBA,MWOMBOSHI,000101002004,CHIKONKOMENE,101002002101,KABANGA - 1,Kabanga Primary School-01,414,390,51.49,48.51,804
CHISAMBA,MWOMBOSHI,000101002004,CHIKONKOMENE,101002002201,14 MILES - 1,Kapani ECCD-01,312,282,52.53,47.47,594
CHISAMBA,MWOMBOSHI,000101002004,CHIKONKOMENE,101002002301,CHUNGA - 1,Chunga Primary School-01,294,346,45.94,54.06,640
CHISAMBA,MWOMBOSHI,000101002005,MUSWISHI,101002002401,MUSWISHI - 1,Muswishi Primary School-01,324,307,51.35,48.65,631
CHISAMBA,MWOMBOSHI,000101002005,MUSWISHI,101002002501,CHIKUSE - 1,Chikuse Primary School-01,219,263,45.44,54.56,482
CHISAMBA,MWOMBOSHI,000101002005,MUSWISHI,101002002601,KAWAMA - 1,Kawama Primary School-01,208,289,41.85,58.15,497
CHISAMBA,MWOMBOSHI,000101002005,MUSWISHI,101002002701,CHOWA - 1,Chowa Primary School-01,239,278,46.23,53.77,517
CHISAMBA,MWOMBOSHI,000101002005,MUSWISHI,101002002702,CHOWA - 2,Chowa Primary School-02,232,285,44.87,55.13,517
CHISAMBA,MWOMBOSHI,000101002005,MUSWISHI,101002002801,KIZITO - 1,Kizito Primary School-01,423,509,45.39,54.61,932
CHISAMBA,MWOMBOSHI,000101002005,MUSWISHI,101002002901,BRUNNELI - 1,Brunneli Primary School-01,338,448,43.00,57.00,786
CHISAMBA,MWOMBOSHI,000101002005,MUSWISHI,101002003001,KASOSOLO - 1,Kasosolo Primary School-01,284,302,48.46,51.54,586
CHISAMBA,MWOMBOSHI,000101002005,MUSWISHI,101002003002,KASOSOLO - 2,Kasosolo Primary School-02,287,299,48.98,51.02,586
CHISAMBA,MWOMBOSHI,000101002005,MUSWISHI,101002003101,MUTUTU - 1,Mututu Primary School-01,314,369,45.97,54.03,683
CHISAMBA,MWOMBOSHI,000101002006,MULUNGUSHI,101002003201,KASAMBA - 1,Kasamba Primary School-01,163,182,47.25,52.75,345
