Polling District Polling Station Male Female % Male % Female Voters
Province: 6 MUCHINGA 0
District 002 CHINSALI
Constituency 87 CHINSALI CENTRAL
Ward : 000106002010 , LUBU
106002001602 KASO - 2 Kaso Primary School-02 254 278 47.74 52.26 532
106002001701 KATONGO - 1 Kasanshi Community School-01 194 224 46.41 53.59 418
106002001801 TONGO TONGO - 1 Tongotongo Primary School-01 312 315 49.76 50.24 627
106002001802 TONGO TONGO - 2 Tongotongo Primary School-02 277 350 44.18 55.82 627
106002001901 KASANTA - 1 Kasanta Primary School-01 209 242 46.34 53.66 451
106002002001 KALISHA - 1 Kalisha Primary School-01 355 384 48.04 51.96 739
Totals for Ward : Polling Districts : 7 1,860 2,066 47.38 52.62 3,926
Ward : 000106002005 , MIKUNKU
106002002101 KASANSU - 1 Kasansu Primary School-01 136 152 47.22 52.78 288
106002002201 ABEL - 1 Abel UCZ Church-01 220 257 46.12 53.88 477
106002002301 MULILANSOLO - 1 Mulilansolo Primary School-01 454 487 48.25 51.75 941
106002002401 MIKUWE - 1 Mikuwe Primary School-01 88 103 46.07 53.93 191
106002002501 CHIPUPA - 1 Chipupa Village-01 201 219 47.86 52.14 420
Totals for Ward : Polling Districts : 5 1,099 1,218 47.43 52.57 2,317
Ward : 000106002006 , MILEMBA
106002002601 CHARLES - 1 Charles Primary School-01 353 360 49.51 50.49 713
106002002701 MUKANDA - 1 Mukanda Primary School-01 170 192 46.96 53.04 362
106002002801 MWALULE - 1 Mwalule Primary School-01 245 272 47.39 52.61 517
106002002802 MWALULE - 2 Mwalule Primary School-02 268 248 51.94 48.06 516
106002002901 MIKUNKU - 1 Mikunku Community School-01 186 214 46.50 53.50 400
106002003001 KAMBASA - 1 Chembe Malata Primary School-01 309 334 48.06 51.94 643
Totals for Ward : Polling Districts : 6 1,531 1,620 48.59 51.41 3,151
Ward : 000106002007 , KAUNGA
106002003101 BULANDA NKWENTO - 1 Lolechitula Community School-01 126 136 48.09 51.91 262
106002003201 MULENGA SULA - 1 Mulenga Sula Primary School-01 233 265 46.79 53.21 498
106002003301 SAMUEL - 1 Samuel Village (Tent)-01 168 167 50.15 49.85 335
106002003401 KABUMYA - 1 Chamba Community School-01 167 142 54.05 45.95 309
106002003501 MUNWE - 1 Munwe Secondary School-01 286 289 49.74 50.26 575
106002003502 MUNWE - 2 Munwe Secondary School-02 273 301 47.56 52.44 574
106002003601 NKWETO - 1 Nkweto Primary School-01 339 393 46.31 53.69 732
106002003701 CHELA - 1 Fisonge Primary School-01 169 157 51.84 48.16 326
Totals for Ward : Polling Districts : 8 1,761 1,850 48.77 51.23 3,611
Ward : 000106002008 , MALALO
106002003801 MUPEKA - 1 Mupeka Primary School-01 169 179 48.56 51.44 348
106002003901 KAWAMA - 1 Vitondo Primary School-01 281 249 53.02 46.98 530
106002004001 CHIFUMA - 1 Chifuma Primary School-01 228 257 47.01 52.99 485
106002004101 MUSANYA - 1 Musanya Primary School-01 470 518 47.57 52.43 988
106002004201 KAPILI - 1 Kapili Primary School-01 232 247 48.43 51.57 479
Totals for Ward : Polling Districts : 5 1,380 1,450 48.76 51.24 2,830
Ward : 000106002009 , CHIPANGA
