WESTERN PROVINCE — HIERARCHICAL VOTER LIST
===========================================
Format: Level | Name | Total Voters
===========================================

PROVINCE: WESTERN

━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━
━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━

  CONSTITUENCY 148: MULOBEZI | 14,733
    Ward 001: KASOMPA           | 1,063
    Ward 002: KAMANGA           | 1,388
    Ward 003: LUAMULOBA         | 1,910
    Ward 004: NAWINDA           | 1,014
    Ward 005: KABANGA           |   855
    Ward 006: SICHILI           | 3,325
    Ward 007: MULOBEZI          | 2,095
    Ward 008: MACHILE           | 2,074
    Ward 009: SALUMBWE          | 1,009

━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━
DISTRICT 009: MWANDI | 14,059
━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━

  CONSTITUENCY 149: MWANDI | 14,059
    Ward 001: CHISU             |   785
    Ward 002: MUSHUKULA         |   583
    Ward 003: KALUNDU           |   615
    Ward 004: LWAZAMBA          | 1,180
    Ward 005: MAGUMWI           | 1,179
    Ward 006: ADONSI            |   550
    Ward 007: LUTABA            | 1,002
    Ward 008: SANKOLONGA        |   692
    Ward 009: MABUMBU           | 1,442
    Ward 010: MWANDI            | 3,625
    Ward 011: SIMUNGOMA         |   946
    Ward 012: LOANJA            | 1,460

━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━
DISTRICT 010: NALOLO | 23,461
━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━

  CONSTITUENCY 150: NALOLO | 23,461
    Ward 001: MUKUKUTU          | 1,124
    Ward 002: KATABA            |   644
    Ward 003: LUBOSI            | 1,398
    Ward 004: NANJUCHA          | 2,009
    Ward 005: MUOYO             | 3,199
    Ward 006: UKOLO             | 1,873
    Ward 007: KAMBAI            | 2,302
    Ward 008: MAKOKA            | 2,351
    Ward 009: LYAMAKUMBA        | 3,147
    Ward 010: SILOWANA          | 2,410
    Ward 011: LIKULWE           | 1,007
    Ward 012: SHEKELA           | 1,997

━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━
DISTRICT 011: NKEYEMA | 26,879
━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━

  CONSTITUENCY 151: NKEYEMA | 26,879
    Ward 001: BULOTO            | 2,267
    Ward 002: SHISHAMBA         | 4,544
    Ward 003: NAMILANGI         | 2,117
    Ward 004: MUNKUYE           | 4,105
    Ward 005: LOMBELOMBE        | 2,173
    Ward 006: NKEYEMA           | 5,103
    Ward 007: SHIMANO           | 3,183
    Ward 008: LITOYA            | 3,387

━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━
DISTRICT 012: SENANGA | 33,711
━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━

  CONSTITUENCY 152: SENANGA | 33,711
    Ward 001: LUMBE NANYEZU     |   405
    Ward 002: MATA              |   870
    Ward 003: NAMUKOKOBA        | 2,076
